username,tweet
din0scart,hi omg pwede ba mag pay thru gcash sa shopee cod
vvithuniverse91,Ada yg pernah salah terima paket cod gak?? Ini dari shopee express sih. Kmrn aku nerima paket di klinik. Trnyta alamat penerimanya bukan klinik ku. Namanya hampir sama kyk atasan ku. Gmn ya jadinya? Bingung. Apa chat shopeenya aja ya😭😭
naemsaesae,"UNSEALED EXO SUHO SELF-PORTRAIT ARCHIVE #2! (COMPLETE INCLUSION WITHOUT PCS)❤️  ALBUM CONDITION - 9/10✨  MOP: COD - P280 (thru shopee checkout)  dm lang sa interested diyan hehe,, thank youuu!!   help mo to retwt pls. thank you🤍 #exo #suho #kpopunsealed  https://t.co/VdHJglEkuD"
domtwt,@Lunas_Verses i'm waiting for the restock kung meron man. nag msg ako sa kanila sa shopee store nila kasi yan lang yung hope ko para makakuha kasi cod ehhh huhuhu
eamkgrasya,@irregular_ph Pwede po ba cod sa shopee? Icheckput ko na po now
naemsaesae,EXO CBX BLOOMING DAYS UNSEALED! (COMPLETE INCL WITHOUT PC)💙  MOD: COD - PHP275 (thru shopee checkout)  dm lang sa interested diyan hehe🤍  help me to retwt pls. thank you!! #exo #cbx #kpopunsealed  https://t.co/tH5wBFugWZ
makslee_yoon,@cheianashopph Can do shopee checheckout and cod po?
yanggardenph,"@_sjyeo 66 lang babayaran talaga for isf, yung lsf can be COD if shopee checkout. 🌸"
kentoyiie,"Hi Kentoy, Shopee Delivery! A Shopee Xpress rider will be delivering your parcel today. As part of our delivery process, we will be collecting a photo as proof of delivery. Please ready your payment for your COD order If you have any questions, please call 02-8805200. Thank you!"
mnfauzi,"Saya ada jual sambal bilis garing. Mohon support warga twitter &amp; boleh ketik link  https://t.co/Uc89m3YZNt utk beli. Sblm ni saya COD sendiri kpd buyers yg mostly sekitar KL. Ride motor jejauh dari Putrajaya. Skarang dah lockdown, payah nak COD. Mohon support dptkan via Shopee."
sandal_boneka,Saya menjual COD || Promo Gorden P... seharga Rp33.500. Dapatkan di Shopee sekarang!  https://t.co/lyV3FuGaHu #ShopeeID  https://t.co/4C7xjPkmnX
summermido_,@iksonghwayaaa awww :&lt; dito ako umorder nung akin. okay naman sya so far~ ubra rin cod 😊 pero may nakikita rin akong onhand na sa ph sa shopee kaso mej pricey lang compared dyan~
4gungkristiadi,@panggilakufebri Shopee cod shopee cod
dlkmhn_chclt,🏷 tags: WTS ENHYPEN TWICE BAEKHYUN TAEMIN GIDLE ON HAND SALE ALBUM PHOTOCARDS  on hand SHOPEE COD Decluttering Sale NAYEON JEONGYEON MOMO SANA JIHYO MINA DAHYUN CHAEYOUNG TZUYU HEESEUNG JAY JAKE SUNGHOON SUNOO JUNGWON NI-KI MIYEON MINNIE SOOJIN SOYEON YUQI SHUHUA pcs sale
naemsaesae,"UNSEALED EXO DON'T MESS UP MY TEMPO WITH SEHUN POSTCARD!❤️  ALBUM CONDITION - 10/10✨ CD NEVER PLAYED!  MOP: COD - P370 (thru shopee checkout)  dm lang sa interested diyan hehe,, thank youuu!!   help mo to retwt pls. thank you🤍 #exo #kpopunsealed  https://t.co/e7lHWHvlPq"
mojosmofo,"@tiddies_t @Taebebuuu Mamiiiii, salamat shopee. COD yan ha? Hahaha"
ekapahyuni,Shopee cod shopee cod bayar langsung di tebas~ Wkwkwkkwkwk receh bgt emang denger gini aja ngakak🤣
upfree_yms,"@mazzini_gsp hi semuanya! aku jual cimol isi keju cheddar, isi keju leleh, dan original ni. free 4 bumbu juga loh🤩   https://t.co/8kdt0t6gcy…  packing cimolnya divakum ya, jdnya aman. tahan 7 hari suhu ruang  📍Tigaraksa, Kab. Tangerang cod tigaraksa free ongkir 📌BISA VIA SHOPEE  https://t.co/kLKasHEXM2"
upfree_yms,"@FiersaBesari hi semuanya! aku jual cimol isi keju cheddar, isi keju leleh, dan original ni. free 4 bumbu juga loh🤩   https://t.co/8kdt0t6gcy…  packing cimolnya divakum ya, jdnya aman. tahan 7 hari suhu ruang  📍Tigaraksa, Kab. Tangerang cod tigaraksa free ongkir 📌BISA VIA SHOPEE  https://t.co/XPpBblMI4e"
dlkmhn_chclt,"WTS TWICE ENHYPEN GIDLE PHOTOCARD (POB TC &amp; ALBUM PCS) SALE ✨  Condition: 10/10 (Will send pics of items before shipping)  Price: 110 each, 100 if buying 2 or more (Twice pob Sana &amp; Chae 120 for all 3 pcs)  (50% dp payo, balance cod/shopee pay)   Comment Mine + item or Dm me ❤️  https://t.co/CdhJ3vZUau"
dlkmhn_chclt,"WTS I TRUST AND DUMDI DUMDI PHOTO CARDS SET SALE✨  Condition: 10/10 (Will send pics of item)  Price: 550 pc set for I trust pcs 500 pc set for Dumdi-Dumdi (50% dp payo, balance cod/shopee pay)    Comment Mine + item or Dm me ❤️  https://t.co/mWIlnP0bbB"
dlkmhn_chclt,"WTS GIDLE I TRUST LIE VER DUMDI DUMDI DAY VER I BURN WINTER VER SALE✨  Condition: 8.5-9/10 (Kept safely on bookshelf)  Price: 350 each, 950 if set (50% dp payo, balance cod/shopee pay) Inclusion: Ob + Pb + Cd    Comment Mine + item or Dm me ❤️  https://t.co/ldLh4bOBeH"
dlkmhn_chclt,"WTS TAEMIN ACT 1 ALBUM SUSPECT VER. SALE ✨  Condition: 10/10 (kept it safely sa bookshelf)  Price: 350 (50% dp payo, balance cod/shopee pay) Inclusion: Sealed   Comment Mine + item or Dm me ❤️  https://t.co/Ftlk27vfXV"
perangsang_asli,🍥 Bukti Nomor Resi JNE 🍥  Bukti Bahwa Kami Mengirimkan Produk Pesanan Konsumen.  Kami Tidak Menerima COD ( Bayar Di Tempat )   LINK INSTAGRAM 👇  https://t.co/AZ6TUJgCav  WA: https://t.co/YQdwnnZw9H  Order via shopee : https://t.co/2S6lKq04um  Cinta Laura  https://t.co/GzQt6mkif2
dlkmhn_chclt,"WTS BAEKHYUN BAMBI ALBUM BAMBI VER Sale✨   Condition: 10/10 (just received last last week)  Price: 600 (50% dp payo, balance cod/shopee pay) Inclusion: Sealed   Comment Mine + item or Dm me ❤️  https://t.co/0ENYk6pPrC"
dlkmhn_chclt,"WTS ENHYPEN BORDER DAY: ONE DUSK &amp; DAWN ON HAND SALE Sparkles  Condition: 9/10 (just unboxed for the pcs)  Price: 750 set (50% dp payo, balance cod/shopee pay) 400 each Inclusion: Clear Ob, PB+ CD+ Complete Post Cards    Comment Mine + item or Dm me ❤️  https://t.co/4OSwJ3MJ76"
xuxi8s,"help rt pls  up! up! up!  kunin niyo na po, can do COD but I included shopee transaction and packing fees sa prices and pls be a responsible buyer 😭 (I'll send the link)  wts lfb treasure ph"
xuxi8s,"help rt pls  up! up! up!  kunin niyo na po, can do COD but I included shopee transaction and packing fees sa prices and pls be a responsible buyer 😭 (I'll send the link)  wts lfb nct nct 127 nct dream wayv ph"
skylarics,shopee cod shopee cod bayar langsung dibentak
byface_,@FezalMohd Hello lovelies! 🦋  READY STOCK❗ READY STOCK❗  Kayman Beauty JelitaKL  Zarzou Beauty Alluskin  Free shipping Shopee ⤵️  https://t.co/uf4sFK2Cz6  [SABAH]  https://t.co/2x87e5HO32  COD available  ☑️Subang jaya  ☑️Tawau  📱 https://t.co/4nxXqJ8lgW  https://t.co/C4wTx7xD3Z
nick0nuck,"@Onyekcuuu Dilihat - lihat  Dulu kak, siapa tau minat😍 Bisa COD / Bayar di Tempat  ∆ Tokped  https://t.co/aihmnjvgZz   ∆ Shopee  https://t.co/mKehtOGYNH  https://t.co/0U7IjCrNnn"
jisung0510park,HENDERY YIZHIYU PC WTB LFS PH ONLY 😭😭 PLEASE HELP ME. meron sa shopee kaso no cod and halos maubos na laman ng bank acc q JSJSKEK
byface_,@cottonbysara Hello lovelies! 🦋  READY STOCK❗ READY STOCK❗  Kayman Beauty JelitaKL  Zarzou Beauty Alluskin  Free shipping Shopee ⤵️  https://t.co/uf4sFK2Cz6  [SABAH]  https://t.co/2x87e5HO32  COD available  ☑️Subang jaya  ☑️Tawau  📱 https://t.co/4nxXqJ8lgW  https://t.co/C4wTx7xD3Z
byface_,@belle_mustafa92 Hello lovelies! 🦋  READY STOCK❗ READY STOCK❗  Kayman Beauty JelitaKL  Zarzou Beauty Alluskin  Free shipping Shopee ⤵️  https://t.co/uf4sFK2Cz6  [SABAH]  https://t.co/2x87e5HO32  COD available  ☑️Subang jaya  ☑️Tawau  📱 https://t.co/4nxXqJ8lgW  https://t.co/C4wTx7xD3Z
kemejakerenmur1,"@SangPisang2017 Rame bgt Numpang jualan aja laahh Macam2 kemeja pria, ada kemeja surfing, kemeja polos panjang pendek &amp; flanel Barang berkualitas, harga termurah krn langsung dr konveksi, BISA COD yg punya shopee silakan klik  https://t.co/krUVc5udHF"
aespaoutsold,bump!  wts lfb ph only  onhand ROSÉ -R- ktown 4U pob  ⌗ full COD via shopee ✿  ꔛ 330 php per pob set (3 pieces)  ⌗ the album blackpink lisa jennie jisoo summer diary sdih  https://t.co/Ta6wFtpTJO
aespaoutsold,wts lfb ph only &gt;_&lt;  onhand ROSÉ -R- album  ⌗ full COD via shopee ✿  ꔛ sealed ꔛ complete inclusions ꔛ 750 php with folded poster ꔛ 939 php with ktown4U pob set &amp; folded poster   ⌗ the album blackpink lisa jennie jisoo summer diary sdih  https://t.co/bXzzbHmDRp
busanapria,Saya menjual BPS COD Kemeja Koko S... seharga Rp68.000. Dapatkan di Shopee sekarang!  https://t.co/ZA8zSsnR57 #ShopeeID  https://t.co/4SAX7durfz
kemejakerenmur1,"@dwikimic Ngapain aja yg penting dia kaya dan Good looking 😅 Nitip jualan bang macam2 kemeja pria, ada kemeja surfing fullprint, kemeja polos panjang pendek &amp; flanel Barang berkualitas, harga termurah krn langsung dr konveksi, BISA COD yg punya shopee silakan klik  https://t.co/K58pPHa5PB"
pellangi__,@bertanyarl shopee cod shopee cod
memukau_shop,Saya menjual (BISA COD) BELLEZKIN... seharga Rp110.000. Dapatkan di Shopee sekarang!  https://t.co/iJSccoV4RI #ShopeeID  https://t.co/Edte8opTFq
dlkmhn_chclt,"Decluttering Sale....legit, may interested ba sa nga items here? Let me know~  Mod: Gcash (dp) Shopeepay/Cod (Balance) or full COD (w/ shopee fee)   Comment lang sa item na interested, thanks ❤️  https://t.co/yJdZQGBoP4"
arayanto4,Saya menjual Sticker Striping Jupiter Z Robot 2010-2013 Semi Fulllbody Decal Variasi Semua ready COD seharga Rp65.000. Dapatkan produk ini hanya di Shopee!  https://t.co/Km9COmXsOm #ShopeeID  https://t.co/7bXW2VGAVh
blinkeucart,‼️WTS | LFB BLACKPINK PH ONHAND‼️  🏷wts lfb blackpink jisoo jennie rosé lisa  ✨BLACKPINK VINYL LIMITED EDITION POSTCARDS  SHOPEE COD AVAILABLE CHECK LINK! 👇👇    https://t.co/jU8ZPAXzzj  https://t.co/Y5jDXUe8jR
landowzky,"shopee tolol bgt dah ngapa jadi double order, org gw pilih via transfer malah di kirim lagi via cod. mana baru gw cek pas udah dikirim lagi. hadeh"
jeonyeorls,"interest check ! may want ba ng tingi na dragon shields sleeves (clear matte)? can sell for 100php 10pcs hahsha hindi ko kasi need ng 100pcs:&lt;&lt; can open 8 slots hehe, shopee checkout and cod will also be available !! just dm me&lt;3  💖 ph pc bts wts lfb wtb lfs ic  binder photocard"
baekshaul,"₍🗒₎ ..⃗. faqs  loc: bicol mop: gcash and bpi mod: shopee c/o (no cod), j&amp;t  ₊˚. if you have a preferred courier, let me know and i’ll see if i can accommodate it!"
anandaalifa_,shopee cod shopee cod
eshoptwinkl,Wts lfb ph only🇵🇭 onhand‼️ TXT minisode set 2 versions AR and R version💖Price: 550💸510 if Payo ⭐Complete inlcusios except pc and poster but R versions has NO STICKERS ⭐AR good condition and R has dents and scrathes ⭐have many freebies🥰 COD✅ SHOPEE✅ Tags txt #txt minisode  https://t.co/U3Ii0bMqhe
1112cart,"Kwento ko lang story behind this album,since may Lovelyz8 na ako tinanong ko si Diana if gusto nya ba yan ako magbabayad via gcash tas bigay ko sakanya COD with addtl fees ni shopee kasi hinahabol ko yung exact price na binayad ko,syemprw pumayag naman si Diana ++"
resmanalbiceles,Saya menjual (BISA COD) BAJU BOLA ITALIA... seharga Rp. Dapatkan di Shopee sekarang!  https://t.co/t9aAl1l4cV #ShopeeID  https://t.co/TJuzFifRIF
resmanalbiceles,Saya menjual (BISA COD) BAJU BOLA TURKI ... seharga Rp. Dapatkan di Shopee sekarang!  https://t.co/m0BoZB6uyM #ShopeeID  https://t.co/zrgQZxhz1S
resmanalbiceles,Saya menjual (BISA COD) BAJU BOLA ATLETI... seharga Rp. Dapatkan di Shopee sekarang!  https://t.co/hXgyyntDkZ #ShopeeID  https://t.co/UDY6n9A5sN
7thsamwol,"WTS / LFB / PH  Pentagon WE:TH Seen &amp; Unseen albums (pb+cd only) + Star1 Dec 2020 issue  all for 580php, full Shopee COD   https://t.co/757Gzh0C5m"
resmanalbiceles,Saya menjual (BISA COD) JERSEY BOL... seharga Rp99.000. Dapatkan di Shopee sekarang!  https://t.co/lJ4aj0yIGR #ShopeeID  https://t.co/d54obqbSQ8
chaeyvesoul,"wts // lfb // ph onhand  seventeen unsealed semicolon album wt inclus ot13 digipack /group cover  pb + cd + mini poster + weaving kit (used) + mingyu cc + jeonghan pc+ joshua oval + folded poster (damaged)  Shopee c/o n cod available ₱600  rfs: need funds, broke af"
moacart,what if gawin kong cod yung sa album ko sa shopee tapos mapipilitan si mama na bayaran kasi tulog ako hahaa /jk
viexmaia,@HARUFlLM shopee full cod po ba?
ryeokdi,finally have cod option on shopee maybe i should just sell from there lmao
zadira_id,"@pororonaa Hallo ka, Aku buka jasa cetak foto original polaroid by instax film cuma 8ribuan/foto, bisa lewat shopee.   https://t.co/PlkUjFnyqR  Tanpa minimal order. Ada gratis ongkir dan bisa pilih pembayaran COD juga. Yuk order sekarang"
dalbitcornerph,#DalbitOnhand [ WTS LFB ] BTS BE Essential Edition Sealed Weverse Pre-Order Benefit POB for ₱830. Get it on Shopee now! COD available 🌙  🏷 RM Jin Suga Jimin V Jungkook LSF   https://t.co/agENM9rZqB #ShopeePH  https://t.co/HRcmaX8PEp
megumiukay_shop,"Fits up to Medium PHP 90.00 ONLY Colors may vary due to camera settings.  COMMENT ""MINE"" LANG and ill send order form COD available SHIPPING: J&amp;T thru shopee checkout Other MOP: GCASH AND METROBANK Loc: Sta rosa, Laguna  https://t.co/n3AVDrfnEO"
megumiukay_shop,"Fits up to Medium PHP 100.00 ONLY Puff sleeves wrap dress Colors may vary due to camera settings.  COMMENT ""MINE"" LANG and ill send order form COD available SHIPPING: J&amp;T thru shopee checkout Other MOP: GCASH AND METROBANK Loc: Sta rosa, Laguna  https://t.co/24qgeUQfSq"
megumiukay_shop,"XS TO SMALL Vintage shirt dress PHP 90.00 ONLY Colors may vary due to camera settings.  COMMENT ""MINE"" LANG and ill send order form COD available SHIPPING: J&amp;T thru shopee checkout Other MOP: GCASH AND METROBANK Loc: Sta rosa, Laguna  https://t.co/hREyGmb8rc"
megumiukay_shop,"Fits up to Medium PHP 90.00 ONLY Colors may vary due to camera settings.  COMMENT ""MINE"" LANG and ill send order form COD available SHIPPING: J&amp;T thru shopee checkout Other MOP: GCASH AND METROBANK Loc: Sta rosa, Laguna  https://t.co/w9xJyrf4tL"
megumiukay_shop,"Fits up to Medium PHP 90.00 ONLY!  COMMENT ""MINE"" LANG and ill send order form COD available SHIPPING: J&amp;T thru shopee checkout Other MOP: GCASH AND METROBANK Loc: Sta rosa, Laguna  https://t.co/ja7bsCwnpO"
xxsitoxic,Dom tangsel. Bisa cod 🍊 Shopee gratong xtra Toped bebas ongkir  masih ada: Parka adorable projects 90k Flatshoes rubi (uk.39) 82k Charcoal tartan 100k Kemeja oversized 51k Grid pants 52k Rok plisket hitam 30k  Shopee &gt;  https://t.co/RGkDs2OyCC  Toped &gt;  https://t.co/5bVH0t88F5  https://t.co/XTgb0wQfws
mmiinnaarriiii,"These albums are my personal collections, but I'mma try to sell these to minimize my collection. Also, these are pre-owned so meron yung mga minimal issues^^  Can Do COD thru Shopee, Pero Can less 49 pesos if Gcash ang payment  MOP: Shopee COD, Gcash MOD: Shopee ✓out, JNT, JRS"
minameansmine,"@sunwonsurs Oke, pengen di cod in shopee"
heartsh4kers,it's funny how other girls are playing ml and cod.... while here i am playing shopee games 😭
strawberriesdae,@dagangkorea jeno photopack mau kaak? aku ada bs cod shopee
blinkeucart,‼️WTS | LFB BLACKPINK PH ONHAND‼️  🏷wts lfb blackpink jisoo jennie rosé lisa  ✨BLACKPINK VINYL LIMITED EDITION POSTCARDS  SHOPEE COD AVAILABLE CHECK LINK! 👇👇    https://t.co/jU8ZPAXzzj  https://t.co/Y5jDXUe8jR
neocartz_,Wts lfb  Nct dream unsealed hot sauce album - boring version-  Boring ver no pb pc (with cafe dream)  - jisung set = folded poster jisung + cafe dream jisung  ONHAND✨  Shipped under fast eta  Mop: gcash//cod Mod: shopee c/o Dop: PAYO- 3 days  Price: 650 (600 PAYO)  https://t.co/1U14XyBDVQ
upfree_yms,"@txtdarigajelas hi semuanya! aku jual cimol isi keju cheddar, isi keju leleh, dan original ni. utk daerah kab tangerang bisa cod yaa (tigaraksa free ongkir). free 4 bumbu juga loh🤩   https://t.co/u8cLHQ6r3N  packing cimolnya divakuum ya, jdnya aman. tahan 7 hari suhu ruang  📌BISA VIA SHOPEE  https://t.co/9b7MAsqcf2"
upfree_yms,"@radenrauf hi semuanya! aku jual cimol isi keju cheddar, isi keju leleh, dan original ni. utk daerah kab tangerang bisa cod yaa (tigaraksa free ongkir). free 4 bumbu juga loh🤩   https://t.co/u8cLHQ6r3N  packing cimolnya divakuum ya, jdnya aman. tahan 7 hari suhu ruang  📌BISA VIA SHOPEE  https://t.co/vCyC93lQIW"
seungloml,🛒. . . wts lfb | ph only !!  Lia Not shy pc   — 230 — may line siya sa gilid — bought for the same price  — can checkout on 6.6  mop: gcash / shopeepay / cod mod: shopee c/o  itzy cho lia pc poca photocard onhand  https://t.co/YZhqRjJnVf
pengminari24,WTS/LFB  WIL mono   Pb+ob- 1500 Pcs- 430 each   🚫 COD 💸 gcash  📦 shopee checkout   Tags: Twice Nayeon Jeongyeon Momo Sana Jihyo Mina Dahyun Chaeyoung Tzuyu  https://t.co/2CyNtw5JEn
upfree_yms,"@RiaRicis hi semuanya! aku jual cimol isi keju cheddar dan isi keju leleh ni. untuk yg daerah kab tangerang bisa cod yaa (free ongkir khusus tigaraksa). free 4 bumbu juga loh🤩   https://t.co/u8cLHQ6r3N  packing cimolnya divakuum ya, jdnya aman.  📍tigaraksa, kab tangerang BISA VIA SHOPEE  https://t.co/Q6bPYcVzqy"
upfree_yms,"@kegblgnunfaedh hi semuanya! aku jual cimol isi keju cheddar dan isi keju leleh ni. untuk yg daerah kab tangerang bisa cod yaa (free ongkir khusus tigaraksa). free 4 bumbu juga loh🤩   https://t.co/u8cLHQ6r3N  packing cimolnya divakuum ya, jdnya aman.  📍tigaraksa, kab tangerang BISA VIA SHOPEE  https://t.co/5I3msUrqMS"
upfree_yms,"@radenrauf hi semuanya! aku jual cimol isi keju cheddar dan isi keju leleh ni. untuk yg daerah kab tangerang bisa cod yaa (free ongkir khusus tigaraksa). free 4 bumbu juga loh🤩   https://t.co/SQD8afBDH0…  packing cimolnya divakuum ya, jdnya aman.  📍tigaraksa, kab tangerang BISA VIA SHOPEE  https://t.co/FjbGKtq2pJ"
soopkart,"WTS LFB  We both have sealed with pob and unsealed BORDER : CARNIVAL albums on hand, ready to ship and available for COD on our Shopee!  SEALED :   https://t.co/gkxLVF4z88  UNSEALED :  https://t.co/9CNBXma95T  https://t.co/EDVeMDikr9"
pengminari24,WTS/LFB  Prices are already indicated in the pic  No unboxing video no refund   🚫 COD 💸 gcash 📦 shopee checkout   Tags: Blackpink Jisoo Jennie Rosé Lisa  https://t.co/jFAAd9xgFw
pengminari24,WTS/LFB  Prices are already indicated in the pic  No unboxing video no refund   🚫 COD 💸 gcash 📦 shopee checkout   Tags: Twice Nayeon Jeongyeon Momo Sana Jihyo Mina Dahyun Chaeyoung Tzuyu  https://t.co/tMQQiLO0kt
sherincbella,lagi nangis enak enak sambil dengerin youtube malah kepotong iklan shopee cod langsung awkward nangis nya😳
arsuggest,"@Buyung31252925 Aku malah baca ""Shopee COD: Bisa Bayar di tempat"" 😭"
dubuxcart,"- Order today, ship tomorrow - Can also do COD - Shopee J&amp;T only for MOD  - DM for inquiries and more photos 😊"
maakiimaa,@osmiyeah Abisitu ada shopee cod
chaeyeonmj,WTS LFB IZONE EYES ON ME ON SEOUL KIHNO KIT VER UNSEALED  SHOPEE COD AVAILABLE   ALL INCLUSION EXCEPT PHOTOCARDS  dm me if interested  tags izone eunbi sakura hyewon yena chaeyeon chaewon minju nako hitomi yuri yujin wonyoung
park_pj,lfb / wts ph  onhand / ready to ship / can do COD thru shopee / w/ free sf pa min purch 249 😂  available items: BTS WP 2021 PB + CD D-ICON Jimin accordion + keyring BE Essential PC1 set Smart photocards (RM &amp; Hobi)   https://t.co/yHWnzpDKgX
mailynpark,@dolphminkshop Oo nga eh tamad pla kc si J&amp;T for pick up kc ayaw nila ng COD dyan di n lng agad sinabi ni shopee 😂
shop_hobi,"#HWSINTERESTCHECK #HWSonhand  💜 BTS BE ESSENTIAL + JK POB (sealed) ₱2850  💜 BTS BE DELUXE + JK POB (sealed) ₱3700  Payo Mop:Gcash Mod:Lalamove,GGX,Shopee C/O  Comment mine+item+qty  🏷 lf wts lfb cod jungkook v jimin rm jhope jin suga butter"
kondesaofficial,I'm selling INSTAX PRINTING SERVICE (NO MINIMUM ORDER COD AVAILABLE) for ₱20 - ₱68. Get it on Shopee now!  https://t.co/iQBvE44Rwt #ShopeePH #instaxprintingservice #instax #instaxsquare #instaxmini #minilink #instaxminifilms #instantfilm #printing #fuji #fujifilm #polaroid
deolathee,ᴘʀᴇʟᴏᴠᴇᴅ &amp; ɴᴇᴡ ꜱᴋɪɴᴄᴀʀᴇ ᴍᴀᴋᴇᴜᴘSparkles  -Dom Jogja (Bisa COD area Bantul Kota-Alkid)   -Shopee :  https://t.co/J7xhaCgkj9  https://t.co/1XCkTVGEHl
yourplaceph,cod via shopee available no other fees!
ciaxcarts,"wts lfb ph •bts bring the soul postcard  price: 100ea + sf   • mop: gcash,bdo,bpi,cod via ggx • mod: jnt,ggx,ssd &amp; shopee c/o  dm me for photos and if interested   tags: bts photocard rm jin suga jhope jimin v jungkook official onhand pc dvd album sealed unsealed bt21  https://t.co/PHXJQrHHR7"
ciaxcarts,"wts lfb ph •bts lemona empty can and bottles  price: 250 all + sf   • mop: gcash,bdo,bpi,cod via ggx • mod: jnt,ggx,ssd &amp; shopee c/o  dm me for photos and if interested   tags: bts photocard rm jin suga jhope jimin v jungkook official onhand pc dvd album sealed unsealed bt21  https://t.co/aNUpOnFRbs"
ciaxcarts,"wts lfb ph •bts world lenti ticket   price: 150 + sf   • mop: gcash,bdo,bpi,cod via ggx • mod: jnt,ggx,ssd &amp; shopee c/o  dm me for photos and if interested   tags: bts photocard rm jin suga jhope jimin v jungkook official onhand pc dvd album sealed unsealed bt21  https://t.co/FscVRP4yWv"
ciaxcarts,"wts lfb ph •taehyung fansite concert banner  price: 250 + sf   • mop: gcash,bdo,bpi,cod via ggx • mod: jnt,ggx,ssd &amp; shopee c/o  dm me for photos and if interested   tags: bts photocard rm jin suga jhope jimin v jungkook official onhand pc dvd album sealed unsealed bt21  https://t.co/fu8q6DQN9Y"
ciaxcarts,"wts lfb ph •bts fansite concert banner   price: 80ea + sf   • mop: gcash,bdo,bpi,cod via ggx • mod: jnt,ggx,ssd &amp; shopee c/o  dm me for photos and if interested   tags: bts photocard rm jin suga jhope jimin v jungkook official onhand pc dvd album sealed unsealed bt21  https://t.co/kxJkH47SJe"
ancopibasa,Ready ya sepatu compass retrograde size 38 cod area jogja bisa shopee jugaa lebih lanjut bisa hubungi ig: jastipbypica_ atau dm langsung yah  🤗🤗  https://t.co/aehCCZCQcv
ciaxcarts,"wts lfb ph •bt21 cooky 30cm cushion  price: 1,500 + sf   • mop: gcash,bdo,bpi,cod via ggx • mod: jnt,ggx,ssd &amp; shopee c/o  dm me for photos and if interested   tags: bts photocard rm jin suga jhope jimin v jungkook official onhand pc dvd album sealed unsealed bt21  https://t.co/eKlZwAtOug"
ciaxcarts,"wts lfb ph •bt21 standing rj doll (has stain)  price: 700 + sf   • mop: gcash,bdo,bpi,cod via ggx • mod: jnt,ggx,ssd &amp; shopee c/o  dm me for photos and if interested   tags: bts photocard rm jin suga jhope jimin v jungkook official onhand pc dvd album sealed unsealed bt21  https://t.co/RrfKvfu5WW"
ciaxcarts,"wts lfb ph •official bts 5th armykit (incomplete)  price: 850 + sf   • mop: gcash,bdo,bpi,cod via ggx • mod: jnt,ggx,ssd &amp; shopee c/o  dm me for photos and if interested   tags: bts photocard rm jin suga jhope jimin v jungkook official onhand pc dvd album sealed unsealed bt21  https://t.co/GvOTQ4DlxI"
txtdrbuaya,Ada buyer beli pake sistem cod via shopee. Tolak jgn? Gw ngeri dia gamau bayar tp kurirnya jd korban
ciaxcarts,"wts lfb ph •bts memories 2019 frame pob   price: 400 + sf   • mop: gcash,bdo,bpi,cod via ggx • mod: jnt,ggx,ssd,shopee c/o  dm me for photos and if interested   tags: bts photocard rm jin suga jhope jimin v jungkook pc onhand official ph album dvd  https://t.co/d1uJkbHKWA"
ciaxcarts,"wts lfb ph •bts x lemona taehyung heart can (29 sticks) price: 400 + sf   • mop: gcash,bdo,bpi and cod via ggx • mod: jnt, ggx, shopee c/o, ssd  dm me for photos and if interested   tags: bts photocard rm jin suga jhope jimin v jungkook pc album sealed unsealed dvd ph onhand  https://t.co/gtbvB9ngoG"
kedirifess,"Enek barang seng lagi mbok pingini ga cah? 😛  Leny Beauty 👉🏻 Official Reseller Somethinc, Kleveru, Votre Peau, dan Biyu. Bisa Shopee/ Toped/ COD. Reply ae engko tak dm. Tanyak sek ya gapopo 😗  https://t.co/mBkZT6AOMd"
vtaecart_,Wts/lfb ph only!! - Bts world double sided PC Namjoon and Seokjin 500 nalang for 2 need ko na talaga ng funds 😭  (ONHAND AND READY TO SHIP)  MOP: Gcash can do COD MOD: Shopee c/o  https://t.co/e3tH7qCzKe
mcrkprides,@vvs_bangtan kak mff bt di shopee Kaka bisa cod ga?
ciaxcarts,"◜˚˳ welcome to ciaxcarts!  ✰ selling acc ✰ mop: bpi, gcash, bdo, cod (via ggx) ✰ mod: gogo xpress, j&amp;t , sdd, shopee checkout"
cupidspotion_id,"[ JasTip ] Uniqlo x Jujutsu Kaisen  Fee: 20k/pcs  || DP: 100k/pcs inc. random anime sticker + packing! - 📍Jakarta Barat 💳 BCA, DANA, Shop33 🚚 Shopee / CoD JakBar &amp; JakUt  https://t.co/pCaly8ifhM"
kseokdom,"#KIMSEOKDOMITEMS ONHAND  BTS JIN KR FANSITE BIRTHDAY GOODS + JIN Winter Package 4x6 photo   (Seller cant remember the actual fansite nung bday ni Jin last Dec but ito nakuha namin sa pack 😊)   ₱385 + SF with freebies  Dop: June 4 or 10 Mop: Gcash only, no shopee co, no cod  https://t.co/NTWD4oEiDE"
aedaaann,"Grind sa cod , pero sa shopee 😭😭"
adibahh_,"Craving dessert?   Cookies paling murah di pasaran. Cookies banyak tak kedekut, rangup &amp; tak manis sangat.  Mujurlah ada ready to eat cookies iaitu Zombiecookies yang boleh di post terus ke pintu rumah anda COD Merlimau ✅ 👇🏻link shopee   https://t.co/t5XY4gLdly  https://t.co/60snSQkElv"
_brightytae,"wtb lfs ph   niki dawn pc  — onhand — shopee checkout, cod much better — budget: 200-250 sorry broke season — will take lowest offer!   dm me or reply !   🏷: enhypen photocard border day  https://t.co/L4d2p2mr7j"
